title,authors,description,category,averageRating,ratingsCount,thumbnail
The Da Vinci Code,Dan Brown,"Harvard professor Robert Langdon receives an urgent late-night phone call while on business in Paris: the elderly curator of the Louvre, Jacques Sauni're, has been brutally murdered inside the museum. Alongside the body, police have found a series of baffling codes. As Langdon and a gifted French cryptologist, Sophie Neveu, begin to sort through the bizarre riddles, they are stunned to find a trail that leads to the works of Leonardo Da Vinci - and suggests the answer to a mystery that stretches deep into the vault of history. Langdon suspects the late curator was involved in the Priory of Sion - a centuries old secret society - and has sacrificed his life to protect the Priory's most sacred trust: the location of a vastly important religious relic hidden for centuries. But it now appears that Opus Dei, a clandestine sect that has long plotted to seize the Prirory's secret, has now made its move. Unless Langdon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever. Breaking the mould of traditional suspense novels, The DA VINCI CODE is simultaneously lightning-paced, intelligent and intricately layered with remarkable research and detail. And in this exclusive edition Dan Brown allows the reader behind the scenes of the novel which now incorporates over 150 photographs and illustrations throughout the text showing the rich historical tapestry from which he drew his inspiration. The visual sources which provide both the backdrop and the stimulus for the novel's action are revealed for the first time and uniquely complement the reading experience.",Art museum curators,5,2,http://books.google.com/books/content?id=A-AS46wG0p8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mirror Crack'd from Side to Side,Agatha Christie,Miss Marple.,Fiction,5,1,http://books.google.com/books/content?id=bnpOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Road to Gandolfo,Robert Ludlum,A humourous tale where the premis is to kidnap Pope Francesco I and ransom him off for every catholic in the world.,Fiction,,,http://books.google.com/books/content?id=DLOS4iKf2GoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Endless Night,Agatha Christie,"""When penniless Michael Rogers discovers the beautiful house at Gipsy's Acre and then meets the heiress Ellie, it seems that all his dreams have come true at once. But he ignores an old woman's warning of an ancient curse, and evil begins to stir in paradise. As Michael soon lears: Gipysy's Acre is the place where fatal 'accidents' happen.""--Publisher description.",Avarice,,,http://books.google.com/books/content?id=jxaZpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hercule Poirot's Christmas,Agatha Christie,"Christmas Eve, and the Lee family¿s reunion is shattered by a deafening crash of furniture and a high-pitched wailing scream. Upstairs, the tyrannical Simeon Lee lies dead in a pool of blood, histhroat slashed. When Hercule Poirot offers to assist, he finds an atmosphere not of mourning but of mutual suspicion. It seems everyone had their own reason to hatethe old man. . . .",Fiction,,,http://books.google.com/books/content?id=PDtbAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,"Set in Africa, with an engaging heroine who could give Miss Marple a run for her money.",Fiction,,,http://books.google.com/books/content?id=xNYKAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
True Evil,Greg Iles,"""True Evil tells the story of a divorce attorney who may be orchestrating the deaths of his clients' spouses, bringing new meaning to the phrase ""'til death do us part."""" ""Dr. Chris Shepard is thirty-six years old, newly married, and well on his way to a perfect life. Or so he believes. But that future is forever cast into doubt the day Special Agent Alexandra Morse walks into his office and drops a bombshell: Dr. Shepard's beautiful new wife is plotting his murder. Shepard is so shocked that he almost throws Agent Morse out of his office. Yet once he is alone, doubt begins to gnaw at him. Paranoia magnifies the small cracks in his marital relationship, and soon he can have no peace unless he knows the truth. When Agent Morse reappears, Chris agrees to act as bait to help her unravel the divorce lawyer's scheme, which may already have cost nine unsuspecting spouses their lives."" ""At the center of the mystery lies a maddeningly simple question: If these people really were murdered, why can't the FBI prove it? Rigorous autopsies have uncovered no forensic evidence of foul play, and the police believe no crimes have occurred. As Dr. Shepard and Agent Morse struggle against an invisible adversary, Shepard realizes that he's working with a desperate woman. The reason: the killer's last known victim was Alex Morse's sister, who from her deathbed accused her husband of murder and extracted a vow that Alex save her ten-year-old nephew from his father. This has driven Alex to risk both her life and her career to fulfill that vow. But Chris Shepard soon feels desperation of his own. As he probes his wife's hidden past, he is confronted by the probability that the woman he loves wants him dead.""--BOOK JACKET.",Fiction,,,http://books.google.com/books/content?id=Yg4mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Loves Music, Loves to Dance",Mary Higgins Clark,A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,Fiction,5,1,http://books.google.com/books/content?id=OHqsQwFrKO0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Mystery of Edwin Drood,Charles Dickens,Tells of the mysterious murder of Edwin Drood in mid-nineteenth century England.,Fiction,,,http://books.google.com/books/content?id=w6VaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
What Mrs. McGillicuddy Saw!,Agatha Christie,"Miss Marple helps her friend, Mrs. McGillicuddy, prove she saw a murder.",Fiction,,,http://books.google.com/books/content?id=qpjRd1v0eNYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
An Overdose of Death,Agatha Christie,,Fiction,,,http://books.google.com/books/content?id=3B4VC3B225EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Paper Money,Ken Follett,"Paper Money is a tautly woven, intriguing story of a single day in the life of the London Evening Post. As various stories break--the awarding of an oil-drilling contract, a mammoth cash robbery, the blackmailing of a politician--awkward questions begin to tie the events together, but will the full story ever make the headlines? By the grand master of suspense, Ken Follett (The Modigliani Scandal). First time published in the United States. Copyright © Libri GmbH. All rights reserved.",Fiction,4,2,http://books.google.com/books/content?id=_k5PUIaonrQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tuesday,David Wiesner,"Frogs rise on their lily pads, float through the air, and explore the nearby houses while their inhabitants sleep.",Juvenile Fiction,3,6,http://books.google.com/books/content?id=gGWvDUUi58cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
